abandon [4'b1nd4n] vt.抛弃；放弃n.放纵；沉溺
constrict [k4n'strikt] vt.约束；收缩
constricted [] adj.抑制的，约束的
construct [k4n'str8kt] vt.建造；创立
construction [k4n'str8k54n] n.建筑，建造
consult [k4n's8lt] vt.咨询，请教
consultant [k4n's8lt4nt] n.顾问，咨询者
consume [k4n'sju:m] vt.消费，消耗；大吃大喝
consumer [k4n'sju:m4] n.消费者
consumption [k4n's8mp54n] n.消耗，消费
contact ['k3nt1kt] vt.使接触，与…联系
contagious [k4n'teid94s] adj.传染性的；有感染力的
contain [k4n'tein] vt.包含，容纳
container [k4n'tein4] n.容器；集装箱
contaminate [k4n't1mineit] vt.弄脏，污染；感染
contamination [k4n.t1mi'nei54n] n.玷污，污染
contemplate ['k3ntempleit] v.沉思，对…作周密思考
contemporary [k4n'temp4r4ri] adj.当代的，现代的n.当代人，同龄人
contender [k4n'tend4(r)] n.竞争者
contention [k4n'ten54n] n.争论，争辩
content [k3ntent;k4n'tent] n.内容；容量adj.满足的
contented [k4n'tentid] adj.满足的，心安的
context ['k3ntekst] n.上下文，语境
contiguous [k4n'tigju4s] adj.接近的，接壤的
contagious [k4n'teid94s] adj.传染性的；有感染力的
continent ['k3ntin4nt] n.大陆
continental [.k3nti'nentl] adj.大陆的，大陆性的
continuation [k4n.tinju'ei54n] n.继续，延长
continuity [.k3nti'nju(:)iti] n.(时间或空间的)连续性，连贯性
continuum [k4n'tinju4m] n.连续统一体
contour ['k3ntu4] n.contours 轮廓n.周线，等高线
contract ['k3ntr1kt] v.收缩v.定契约，立合同n.契约，合同
contraction [k4n'tr1k54n] n.缩短，收缩
contractor [k4n'tr1kt4] n.定约人，承包人
contradict [k3ntr4'dikt] vt.同…矛盾，同…抵触
contradictory [.k3ntr4'dikt4ri] adj.反对的，矛盾的
contrary ['k3ntr4ri] adj.相反的；对抗的
contrast ['k3ntr1st] n.（对比，对照的）差异vt.对比，对照
contribute to [] 有助于，对…起作用
controversy ['k3ntr4v4:si] n.争论，辩论
controversial [.k3ntr4'v4:54l] adj.引起或可能引起争论的
convenient [k4n'vi:nj4nt] adj.方便的；近便的，容易到达的
convenience [k4n'vi:nj4ns] n.便利，方便
convention [k4n'ven54n] n.会议；传统
conventional [k4n'ven54nl] adj.传统的，习俗的
conventionally [k4n'ven54n4li] adv.按照惯例地，照常套地
converge [k4n'v4:d9] vi.聚合，集中于一点，会聚
conversation [.k3nv4'sei54n] n.会话，非正式会谈
conversational [.k3nv4'sei54nl] adj.对话的，会话的
converse [k4n'v4:s] vi.谈话，交谈
conversant [k4n'v4:s4nt] adj.亲切的，熟悉的
conversion [k4n'v4:54n] n.转变；改变信仰
convert [k4n'v4:t] vt.转换；转变信仰
converter [k4n'v4:t4(r)] n.炼钢转炉
convex ['k3n'veks] adj.凸出的
convict [k3n'vikt] vt.证明…有罪，宣告…有罪
conviction [k4n'vik54n] n.确信，深信，坚信
convincing [k4n'vinsi6] adj.令人信服的
convinced [k4n'vinst] adj.确信的，深信的
convivial [k4n'vivi4l] adj.欢乐的，快乐的
cooperate [k4u'3p4reit] vi.合作
cooperation [k4u.3p4'rei54n] n.合作，协作
cooperative [k4u'3p4r4tiv] adj.合作的，协力的
coordinate [k4u'3:dinit, k4u'3:dineit] vt.使…协调，相配合
coordinated [] adj.协调的，配合的
coordination [k4u.3:di'nei54n] n.调和
copper ['k3p4] n.铜
coral reef [] 珊瑚礁=corals
core [k3:] n.中心，核心；地核
crust [kr8st] n.地壳；外壳
corps [k3:] n.军团，兵团
correlate ['k3rileit] vt.使相互关联；使相互影响
correlated [] adj.有相互关系的
correspondence [.k3ris'p3nd4ns] n.通信；信件n.符合，一致
corrosion [k4'r4u94n] n.腐蚀，侵蚀
corrosive [k4'r4usiv] adj.腐蚀的，腐蚀性的
corruption [k4'r8p54n] n.腐败，贪污，堕落
cosmic ['k3zmik] adj.宇宙的
cosmopolitan [.k3zm4'p3lit4n] adj.世界性的，全球的
costume ['k3stju:m, -'tju:m] n.服装vt.穿上服装；穿衣
counsel ['kauns4l] n./vt.劝告
counseling ['kauns4li6] n.咨询服务
counselor ['kauns4l4] n.顾问，法律顾问
counteract [.kaunt4'r1kt] vt.消除，抵消
counterbalance [.kaunt4'b1l4ns] v.使平衡
counterclockwise [.kaunt4'kl3kwaiz] adj./adv.逆时针的（地）
counterfeit ['kaunt4fit] vt.伪造，仿造adj.伪造的，假冒的
counterpart ['kaunt4p2:t] n.相似的人或物，配对物
countless ['kautlis] adj.无数的
couple ['k8pl] n.（一）对，（一）双；夫妇vi.连合，结合
coupled with [] 加之，除…以外
courier ['kuri4] n.送急件的人，信使
court [k3:t] n.法庭；球场vt.向…献殷勤，追求；设法获得（他人的支持等）
courthouse ['k3:thaus] n.法院；郡政府所在地
courtship ['k3:t5ip] n.求爱；求爱时期
courtly ['k3:tli] adj.尊严而有礼貌的
courteously ['k4:ti4sli] adv.有礼貌地，亲切地
cover ['k8v4] vt.覆盖；包括；报道
coverage ['k8v4rid9] n.新闻报道；报道
cowhand ['kauh1nd] n.牛仔，牧牛工
cowboy ['kaub3i] n.牛仔
cozy ['k4uzi] adj.舒适的，惬意的
crab [kr1b] n.蟹
crack [kr1k] n.裂缝，裂纹；缺点v.（使）爆裂；裂开
craft [kr2:ft] n.手艺；容器v.巧手制作
craftspeople ['kra:ftspi:pl] n.手工艺人
cram [kr1m] v.填塞；匆忙准备
cramped [kr1mpt] adj.狭窄的
crash [kr15] n./vt.碰撞，坠毁，撞碎n.破产，垮台
crater ['kreit4] n.火山口；弹坑
crawl [kr3:l] vi.爬，爬行
crayon ['krei4n] n.彩色蜡笔、粉笔或其绘画
canyon ['k1nj4n] n.峡谷
crazy ['kreizi] adj.疯狂的，狂热的
credence ['kri:d4ns] n.信任，相信
credentials [kri'den54lz] n.凭据，文凭
credit ['kredit] n.学分n.信誉，信用；荣誉，声望n.贷方，银行存款vt.认定… ；把…归给，归于
creditor ['kredit4] n.债权人
creek [kri:k] n.小溪，小河
creep [kri:p] vi.慢慢行进；爬行
crevice ['krevis] n.缺口，裂缝
crew [kru:] n.全体工作人员；同事们
crimson ['krimzn] n./adj.深红色（的）
cripple ['kripl] vt.削弱；使残废
crippling ['kripli6] adj.令人震惊的
crisscross ['kriskr3s] vi.交叉往来
crossbones ['kr3sb4unz; (US) 'kr3:s-] n.十字骨头
crosscut ['kr3sk8t] adj.横切的
crossing ['kr3si6] n.横越，交叉口
crossbreeding [] n.（生物）杂种
critical ['kritik4l] adj.评论的，批评的adj.危急的；非常重要的
critical point [] 临界点
critique [kri'ti:k] n.（文艺）批评，评论
crooked ['krukid] adj.不诚实的；欺诈的adj.弯曲的；蜿蜒的
crow [kr4u] n.乌鸦
crude [kru:d] adj.粗糙的，粗鲁的；原始的
crumple ['kr8mpl] vt.把…弄皱；起皱
crumble ['kr8mbl] v.粉碎；崩溃
crush [kr85] vt.压垮；粉碎；使变形
crust [kr8st] n.硬外皮；地壳
crustacean [kr8s'tei5j4n] n.甲壳动物
crystal ['kristl] n.水晶，晶体adj.清澈的；结晶状的
crystalline ['krist4lain] adj.水晶的，透明的
crystallize ['krist4laiz] v.明确；使结晶化
crystallized [] adj.变成晶体的
crystallization ['krist4lai'zei54n] n.结晶化
cubism ['kju:bizm] n.立体主义
cube [kju:b] n.立方体，立方
cubic ['kju:bik] adj.立方体的
cue [kju:] n.提示，暗示
culinary ['k8lin4ri] adj.厨房的，烹调的
culminate ['k8lmineit] v.达到高潮/顶点
cultivate ['k8ltiveit] vt.耕种；培养
cultivation [.k8lti'vei54n] n.耕种；培养
culture ['k8lt54] n.文明，文化vt.培养（微生物细胞组织等）
cumbersome ['k8mb4s4m] adj.笨重的，难处理的
curator [kju4'reit4] n.（博物馆等）馆长
curious ['kju4ri4s] adj.（令人）好奇的
curiosity [.kju4ri'3siti] n.好奇心
currency ['k8r4nsi] n.通货，货币
current ['k4:r4nt] n.（液体、气体）流，趋势adj.现今的
currently ['k8r4ntli] adv.现在，当前
concurrent [k4n'k8r4nt] adj.并发的；协作的，一致的
curriculum [k4'rikjul4m] n.学校的全部课程
cushion ['ku54n] n.垫子，软垫v.缓和…的冲力，保护
custodian [k8s't4udj4n] n.看守人，管理人
custom ['k8st4m] n.习惯，传统，惯例
customs ['k8st4mz] n.关税
customer ['k8st4m4] n.消费者
customarily ['k8st4m4r4li;.k8st4'mer4li] adv.通常
cuticle ['kju:tikl] n.表皮
cylinder ['silind4] n.圆筒，圆柱体
condense [k4n'dens] vt.使浓缩；精简
condenser [k4n'dens4] n.冷凝器；电容器
carbon dioxide ['k2:b4n dai'3ksaid] n.二氧化碳
camouflage ['k1mufl2:9] n./v.伪装
confusion [k4n'fju:94n] n.混乱，混淆
congenial [k4n'd9i:nj4l] adj.趣味相投的，适意的
chaste [t5eist] adj.贞洁的，朴素的
chilly ['t5ili] adj.寒冷的
coincident [k4u'insid4nt] adj.一致的，符合的；巧合的
coincidence [k4u'insid4ns] n.一致；同时发生或同时存在的事
colleague ['k3li:g] n.同事，同僚
corn [k3:n] n.玉米，谷类
cornet ['k3:nit] n.短号
commemorate [k4'mem4reit] v.纪念
conception [k4n'sep54n] n.观念，概念
competition [k3mpi'ti54n] n.竞争，竞赛
caterpillar ['k1t4pil4] n.毛虫
capillary [k4'pil4ri] n.毛细管
chunk [t586k] n.大块
coffeepot ['k2fip3t] n.咖啡壶
compromise ['k3mpr4maiz] n./v.妥协，折衷
craft [kr2:ft] n.工艺，手艺
coverage ['k8v4rid9] n.覆盖
crayon ['krei4n] n.蜡笔、彩笔及其绘画
craze [kreiz] n.狂热
correspond [k3ris'p3nd] vi.符合，协调；通信
correspondence [.k3ris'p3nd4ns] n.通信，信件n.相应，对应
corresponding [.k3ris'p3ndi6] adj.相应的
cucumber ['kju:k8mb4] n.黄瓜
consequence ['k3nsikw4ns] n.结果
chromosphere ['kr4um4sfi4] n.色球
coach [k4ut5] n.教练n.四轮大马车
constrain [k4n'strein] vt.抑制，拘束
constraint [k4n'streint] n.约束，强制
customs ['k8st4mz] n.进口税；海关
contemporary [k4n'temp4r4ri] adj.当代的，同时代的
contender [k4n'tend4(r)] n.竞争者，斗争者
cyclone ['saikl4un] n.旋风，龙卷风
community [k4'mju:niti] n.团体，社会；(生物)群落
converse [k4n'v4:s] v.谈话，交谈
conversion [k4n'v4:54n] n.变换，转化
cottonwood ['k3t4nwud] n.[植]三叶杨,棉白杨
disagreeable [.dis4'gri4bl] adj.不令人喜欢的，令人厌恶的
disappointment [.dis4'p3intm4nt] n.失望
disapproval [.dis4'pru:v4l] n.不赞成
decomposition [.di:k3mp4'zi54n] n.分解；腐烂
disconnect [.disk4'nekt] vt.分离，断开
dagger ['d1g4] n.短剑，匕首
daisy ['deizi] n.雏菊
damp [d1mp] adj.潮湿的，有湿气的
dampen ['d1mp4n] vt.使潮湿
dangerous ['deind9r4s] adj.危险的
daring ['de4ri6] adj.大胆的，勇敢的
dart [d2:t] v.飞奔；投掷n.标枪，镖，箭
dash off [] 水猛冲；感情爆发
date [deit] vt.注明…的日期
date back [] 追溯到…
dated ['deitid] adj.陈旧的，过时的
daunting [d3:nti6] adj.使人畏缩的
dawn [d3:n] n.黎明；开端，开始
dawning ['d3:ni6] n.拂晓，黎明
dazzling ['d1zli6] adj.眼花缭乱的；耀眼的
deadly ['dedli] adj.致命的；极度的
deal [di:l] n.交易；份量
deal with [] 处理，应付
debatable [di'beit4bl] adj.未决定的，有争执的
debate [di'beit] n.争论，辩论
debris ['debri:, 'deib-] n.废墟，残骸；碎片
debt [det] n.债务
debtor ['det4] n.债务人
decadent ['dek4d4nt] adj.颓废的
decay [di'kei] vi./n.腐烂vi./n.衰落
deceive [di'si:v] vt.欺骗，行骗
decent ['di:snt] adj.适当的，可接受的adj.得体的，体面地
deceptive [di'septiv] adj.欺骗的，导致误解的
deception [di'sep54n] n.欺骗，诡计
deciduous [di'sid9ju4s] adj.每年落叶的
decimal ['desim4l] adj.十进制的，小数的n.小数
deck [dek] n.一副（纸牌）
declaration [.dekl4'rei54n] n.宣布，宣言
declare [di'klA4] vt.宣布，声明
decline [di'klain] vi./n.衰退；下降，减退vt.婉言谢绝
decomposition [.di:k3mp4'zi54n] n.腐烂，分解
decompose [.di:k4m'p4uz] v.分解，（使）腐烂
decorate ['dek4reit] vt.装饰，装潢，修饰
decoration [.dek4'rei54n] n.装饰，装饰品
decorative ['dek4r4tiv] adj.装饰的，可作装饰的
decrease [di:'kri:s] v.减少
defecate ['defikeit] vi.排粪；通大便
defect [di'fekt] n.缺点，瑕疵
defective [di'fektiv] adj.有缺陷的
defend [di'fend] vt.防护；辩护
defense [di'fens] n.防卫；防卫物
defensive [di'fensiv] adj.自卫的
defer [di'f4:] vi.遵从，听从vt.延期
deferential [.dif4'ren54l] adj.恭敬的, 恭顺的
deference ['def4r4ns] n.尊重，顺从；敬意
deficiency [di'fi54nsi] n.缺乏；不足
deficient [di'fi54nt] adj.缺乏的，不足的
deficit ['defisit] n.赤字，不足额
definite ['definit] adj.清楚的；明确的；确切的
definitely ['definitli] adv.明确地，肯定地
definitive [di'finitiv] adj.决定性的，最后的
definition [.defi'ni54n] n.定义
deform [di:'f3:m] vt.使变形
deformation [.di:f3:'mei54n] n.损坏，变形
deft [deft] adj.灵巧的，熟练的
degrade [di'greid] v.使降级，贬低
degradation [.degr4'dei54n] n.退化；降级，降格
dehydrate [di:'haidreit] vt.使脱水
dehydrated [] adj.干燥的，脱水的
dehydration [.di:hai'drei54n] n.脱水，干燥
deign [dein] vi.屈尊
deity ['di:iti] n.神，被奉若神明的人或物
delay [di'lei] vt./n.推迟，耽搁
delectable [di'lekt4bl] adj.美味的
delegate ['deligit] n.代表vt.委派，授权
deliberate [di'lib4reit] adj.故意的，早有准备的adj.审慎的，深思熟虑的
deliberately [di'lib4r4tli] adv.故意地
delicate ['delikit] adj.脆的，易损的；娇弱的adj.精致的，细腻的
delicious [di'li54s] adj.美味的，可口的
delirium [di'liri4 m] n.精神错乱，发狂
delta ['delt4] n.三角洲
demobilize [di:'m4ubilaiz] vt.遣散，使复员
democracy [di'm3kr4si] n.民主政治，民主主义
demolish [di'm3li5] vt.破坏，摧毁
demolition [.dem4'li54n] n.破坏，拆除
demonstrate ['dem4nstreit] vt.演示；论证
demonstration [.dem4ns'trei54n] n.实证；示范
denomination [di.n3mi'nei54n] n.宗派，教派n.（货币）面额
denote [di'n4ut] vt.指示，表示
denounce [di'nauns] vt.（公开）谴责，斥责
dense [dens] adj.密集的，浓厚的
density ['densiti] n.密度
dent [dent] n.缺口，凹痕v.使凹下，凹进
dentistry ['dentistri] n.牙科
dental ['dentl] adj.牙齿的
dentist ['dentist] n.牙科医生
deny [di'nai] vt.否认，否定vt.剥夺，拒绝…的要求
depart [di'p2:t] vi.离开，出发
departure [di'p2:t54] n.离开，出发
dependent [di'pend4nt] adj.依赖的；从属的，由…而定的n.依赖他人者
depend on [] 依靠，依赖
dependence [di'pend4ns] n.依赖，信赖
dependable [di'pend4bl] adj.可靠的，可信赖的
depict [di'pikt] vt.描绘；描写，描述
deplete [di'pli:t] vt.耗尽，使衰竭
deposit [di'p3zit] vt.堆积，沉淀vt.放置，寄存vt.产卵n.堆积物，沉淀；存款，押金
depositor [di'p3zit4] n.存款人
depot ['dep4u; 'di:-] n.货站，仓库
depreciation [di.pri:5i'ei54n] n.贬值
depredation [depri'dei5(4)n] n.劫掠，蹂躏
depress [di'pres] vt.压下，压低
depressed [di'prest] adj.沮丧的
depression [di'pre5n] n.不景气，萧条期n.凹陷处，坑n.沮丧，消沉
deprive [di'praiv] vt.剥夺，使失去
deprivation [.depri'vei54n] n.缺乏；剥夺
derive [di'raiv] vt.得到，获取；源于
derive from [] 来源于
derivative [di'riv4tiv] n.派生的事物；派生词
desalination [di:.s1li'nei54n] n.脱盐，去盐作用
descend [di'send] v.传下，遗传v.下降
descendant [di'send(4)nt] n.子孙，后裔
descent [di'sent] n.血统，世袭n.下降
desert ['dezAt; di'zA:t] n.沙漠vt.遗弃
deserted [di'z4:tid] adj.荒芜的，荒废的
deserve [di'z4:v] vt.应得
designate ['dezigneit] vt.指定，任命
desire [di'zai4] n.欲望，要求vt.想要
desirable [di'zai4r4bl] adj.令人向往的；令人满意的
desolate ['des4lit] adj.荒凉的，无人烟的
desperate ['desp4rit] adj.绝望的，不顾一切的，拼死的
desperately ['desp4ritli] adv.迫切地；危急地
despoil [dis'p3il] v.夺取，掠夺
despoiler [] n.掠夺者
dessert [di'z4:t] n.餐后甜点
destination [.desti'nei54n] n.目的地
destine ['destin] vt.命运注定，预定
destruction [dis'tr8k54n] n.破坏；毁灭
destructive [dis'tr8ktiv] adj.破坏的；毁灭性的
detect [di'tekt] vt.察觉，发觉；探测，侦查
detective [di'tektiv] n.侦探adj.侦探的
detectable [di'tekt4bl] adj.可发觉的；可查明的
deter [di't4:] vt.阻碍，制止，使踌躇
deterrent [di't4:r4nt] n.制止物，威慑力量
detergent [di't4:d94nt] n.清洁剂
deteriorate [di'ti4ri4reit] v.使恶化；质量下降
determinant [di't4:min4nt] n.决定因素
detest [di'test] vt.深恶，憎恶
detrimental [.detri'mentl] adj.有害的
detriment ['detrim4nt] n.伤害，危害
devastate ['dev4steit] vt.毁坏
devastation [.dev4s'tei54n] n.毁坏
devastating ['dev4steiti6] adj.破坏性的
device [di'vais] n.器械，装置
devise [di'vaiz] vt.设计；发明
devoid [di'v3id] adj.全无的，缺乏的
devote [di'v4ut] vt.投入于，献身；用于，作…之用
devotion [di'v4u54n] n.热爱，忠诚
devour [di'vau4] vt.贪婪地吃，吞食
diagnose ['dai4gn4uz] vt.诊断
diagonal [dai'1g4nl] n./adj.对角线（的）
diagonally [dai'1g4n4li] adv.成对角线地，斜对地
diagram ['dai4gr1m] n.图表
dialect ['dai4lekt] n.方言，土话
dialogue ['dai4l3g] n.对话
diameter [dai'1mit4] n.直径
dictate [dik'teit] vt.规定；决定，确定
diction ['dik54n] n.措辞，用语
diet ['dai4t] n.饮食，食物vi.节食，忌食
dietary ['dai4t4ri] adj.饮食的
dieter ['dai4t4] n.节食者，减肥者
dietitian [.dai4'ti54n] n.营养学家
dietetics [.dai4'tetiks] n.营养学
differentiate [.dif4'ren5ieit] v.区分，区别
diffuse [di'fju:z] v.扩散；散播adj.散开的，弥漫的
digestion [di'd9est54n, dai'd9est54n] n.消化
digest [di'd9est; dai'd9est] vt.消化
digestive [di'd9estiv, dai] adj.消化的，助消化的
dignity ['digniti] n.尊严，高贵
digression [dai'gre54n] n.离题，扯到枝节上
dilate [dai'leit] vt.使膨胀，使扩大
dilemma [di'lem4. dai'lAm4] n.困境，进退两难
diligent ['dilid94nt] adj.勤勉的，勤奋的
diligently ['dilid94ntli] adv.勤勉地，尽职地，小心翼翼地
dilute [dai'lju:t. di'l-] vt.稀释，淡化
dilution [dai'lju:54n. di'l] n.稀释，淡化
dim [dim] adj.暗淡的，模糊的
dimly ['dimli] adv.朦胧地，模糊地
dime [daim] n.（美）一角硬币
dimension [di'men54n] n.尺寸；尺度
dimensional [di'men54n4l] adj.空间的
diminish [di'mini5] v.（使）减少，（使）变小
dinosaur ['dain4s3:] n.恐龙
dioxide [dai'3ksaid] n.二氧化物
diplomacy [di'pl4um4si] n.外交，交际手腕
diplomatic [.dipl4'm1tik] adj.外交的；老练的
disadvantage [.dis4d'v2:ntid9] n.缺点，坏处，不利
disapproval [.dis4'pru:v4l] n.不赞成
disaster [di'z2:st4] n.灾难，不幸；彻底的失败
disastrous [di'z2:str4s] adj.损失惨重的；悲伤的
discard [dis'k2:d] vt.丢弃
discern [di's4:n] vt.看出；察觉到
discernible [di's4:n4bl, -'z4:-] adj.可识别的=discernable
discerning [di's4:ni6] adj.有识别能力的；眼光敏锐的
discharge [dis't52:d9;'dist5a:d9] vt.释放；排出n.流出n.放电
disciple [di'saipl] n.门徒，弟子
discipline ['disiplin] n.纪律，训练n.学科vt.训练；惩罚
disciplined ['disiplind] adj.遵守纪律的
discomfort [dis'k8mf4t] n.不适
discontented ['disk4n'tentid] adj.不满意，不满足
discontent ['disk4n'tent] n.不满
discount ['diskaunt] n.折扣vt.不全信，对…持怀疑态度
discourage [dis'k8rid9] v.使气馁；阻碍
discouraging [dis'k8rid9i6] adj.令人气馁的
discourse [dis'k3:s, 'disk3:s] n.讲道，演讲
discrete [dis'kri:t] adj.独立的；不连续的，离散的
discreet [dis'kri:t] adj.小心的，谨慎的
disgust [dis'g8st] n.厌恶，嫌恶
disgusted [dis'g8stid] adj.厌烦的；厌恶的
disillusion [.disi'lu:94n] v.使醒悟
disintegrate [dis'intigreit] v.（使）瓦解，（使）碎裂
disinterested [dis'intristid] adj.无个人利害关系的;无私的,公平的
dismal ['dizm4l] adj.暗的，凄凉的；忧郁的，沮丧的
dismay [dis'mei] vt.使惊慌；使沮丧n.沮丧，惊慌
dismember [dis'memb4] vt.肢解，分割
dismembered [] adj.肢解的
dismiss [dis'mis] vt.解散；摒除（思想、感情等）
disorganize [dis'3:g4naiz] vt.扰乱，使混乱
dispatch [dis'p1t5] vt.（紧急）派遣；分配n.派遣；急件，重要消息
dispense [dis'pens] vt.分配，分发
dispense with [] 免除，省却
disperse [dis'p4:s] vt.分散，散开
dispersal [dis'p4:s4l] n.疏散，散开
displace [dis'pleis] vt.移置，转移；取代，替代
displacement [dis'pleism4nt] n.移置，转移
display [di'splei] vt.陈列；显示n.陈列，展览；显示
disposal [dis'p4uz4l] n.垃圾倾倒；处置
dispose of [] 除去，扔掉；解决，处理
disposed [di'sp4uzd] adj.有…倾向的
disposition [disp4'zi54n] n.性情；倾向
disproportionate [.dispr4'p3:54nit] adj.不成比例的
dispute [dis'pju:t, 'dispute] n.争论，纠纷v.争论，争执
disregard [.disri'g2:d] n./v.不理会；漠视
disrepute ['disri'pju:t] n.坏名声，不光彩
disrupt [dis'r8pt] vt.使混乱，使中断
disseminate [di'semineit] vt.传播，宣传
dissenter [di'sent4(r)] n.不同意者，反对者
dissenting [di'senti6] adj.不同意的
dissertation [.dis4(:)'tei54n] n.论文
dissimilar [di'simil4] adj.不同的, 相异的
dissipate ['disipeit] vi.消失；消散
dissipated ['disipeitid] adj.沉迷于酒色的, 浪荡的
dissolve [di'z3lv] vt.使溶解
distant ['dist4nt] adj.远离的，遥远的
distance ['dist4ns] n.距离；远处
distend [dis'tend] vt./vi.（使）扩大，（使）扩张
distent [dis'tent] adj.膨胀的，扩张的
distasteful [dis'teistful] adj.（令人）不愉快的，讨厌的
distill [di'stil] vt.蒸馏，提取
distinction [dis'ti6k54n] n.差别，特性n.显赫，声望
distinct [dis'ti6kt] adj.明确的，确实的；不同的
distinctly [di'sti6ktli] adv.清楚地，显然
distinctive [dis'ti6ktiv] adj.有特色的，出众的
distinctively [dis'ti6ktivli] adv.特殊地，区别地
distinguish [dis'ti6gwi5] vt.区别，辨认
distinguished [dis'ti6gwi5t] adj.卓著的
distort [dis't3:t] vt.弄歪（形状等）；歪曲
distortion [dis't3:54n] n.扭曲；歪曲
distract [dis'tr1kt] vt.使…分心，分散注意力
distress [dis'tres] n.悲痛，不幸，穷困
distribute [di'stribju(:)t] vt.分配；分发，散布
distribution [.distri'bju:54n] n.分发，分配
district ['distrikt] n.区域，地区
disturb [dis't4:b] vt.打扰，扰乱
disturbance [dis't4:b4ns] n.骚动，动乱
dive [daiv] vi.潜水；跳水
diver ['daiv4] n.潜水者，跳水运动员
divergent [dai'v4:d94nt] adj.有分歧的，有差异的
divergence [dai'v4:d94ns, di-] n.分歧，岔开
diverse [dai'v4:s] adj.不同的；变化多的
diversity [dai'v4:siti] n.差异，多样
diversify [dai'v4:sifai] vt.使多样化
diversified [dai'v4:sifaid] adj.多样化的
diversification [daiv4:sifi'kei54n] n.多样化
diversion [dai'v4:54n] n.消遣，娱乐n.转移，转换
divert [di'v4:t] vt.转移，（使）转向
divide [di'vaid] vt.划分，分开；分裂
dividing line [] 分界线
divorce [di'v3:s] vt.离婚vt.使分离，使脱离
dizzy ['dizi] adj.眩晕的
dizzying ['dizii6] adj.令人昏乱的；灿烂的
dizziness ['dizinis] n.头昏眼花，眩晕
doctrine ['d3ktrin] n.教义，教旨
documentation [.d3kjumen'tei54n] n.文件
document ['d3kjum4nt] vt.证明；文件记录
documentary [.d3kju'ment4ri] adj.文件的  n. 纪录片
dogged ['d3gid] adj.顽强的，顽固的
dogma ['d3gm4] n.教条，教义
doll [d3l] n.洋娃娃，玩偶
dolphin ['d3lfin] n.海豚
domain [d4u'mein] n.领域，范围
domestic [d4'mestik] adj.家里的；家养的adj.本国的，国内的
domesticate [d4'mestikeit] vt.驯养，驯化
domesticated [d4'mestikeitid] adj.驯养的，家养的
dominant ['d3min4nt] adj.支配的，占优势的
dominate ['d3mineit] vt.统治，支配，控制vi.盛行
donate [d4u'neit] vt.捐赠
donation [d4u'nei54n] n.捐赠，捐款
donor ['d4un4] n.捐助者
dormant ['d3:m4nt] adj.静止的，休眠的
dormitory ['d3:mitri] n.宿舍
dorsal ['d3:s4l] adj.背部的，背脊的
dot [d3t] vt.星罗棋布于n.点，圆点
doubt [daut] n./vt.怀疑
doubtful ['dautful] adj.可疑的；疑心的
downtown ['dauntaun] adv./adj.在市区（的），往市区（的）
draft [dr2:ft] n.草图，草稿vt.起草
draft animal [] 役用动物
drag [dr1g] vt.拖动
dragonfly ['dr1g4nflai] n.蜻蜓
drain [drein] v.（使）流走，（使）排光n.排水；消耗
down the drain [] 浪费；无结果
drainage ['dreinid9] n.排水，排出物
drama ['dr2:m4] n.戏剧
dramatize ['dr1m4taiz] vt.改编成戏剧，编写剧本
dramatically [dr4'm1tik4li] adv.戏剧性地；引人注目地
dramatic [dr4'm1tik] adj.戏剧性的；引人注目的
drastic ['dr1stik] adj.猛烈的
draw [dr3:] vt.吸引
drawing ['dr3:i6] n.图画，制图
draw up [] 起草
draw out [] 拔出；引起
draw from [] 源于…
drawback ['dr3:.b1k] n.弊端，缺点
drawer ['dr3:4] n.抽屉
dread [dred] n.畏惧，恐怖
dreadful ['dredful] adj.可怕的
dreadfully ['dredfuli] adv.可怕地
dreary ['dri4ri] adj.沉闷的，阴郁的
drift [drift] vi.漂流；漂泊
driftwood ['driftwud] n.浮木
drill [dril] vt.钻孔，打眼n./vi.训练，操练；反复练习
drop in [] 顺便拜访
drought [draut] n.干旱
drowsy ['drauzi] adj.昏昏欲睡的
drudgery ['dr8d94ri] n.苦工，苦差事
ductile ['d8ktail] adj.易延展的；柔软的
due [dju:] adj.预定的；到期的
due to [] 因为，由于
dues [] n.应付款
dull [d8l] adj.钝的；感觉或理解迟钝的
dumb [d8m] adj.哑的
dumbbell-like [] adj.哑铃状的
dump [d8mp] vt.倾泻，倾倒
duplicate ['dju:plikeit] vt.复写，复制adj.两重的，两倍的；完全相同的
durable ['dju4r4bl] adj.持久的；耐用的
duration [dju'rei54n] n.持续时间
dwarf [dw3:f] n.侏儒 vt.把…显得矮小
dwell [dwel] vi.居住，生活于
dweller ['dwel4(r)] n.居住者，居民
dwelling ['dweli6] n.住处，寓所
dye [dai] n.颜料，燃料vt.染色
dynamic [dai'n1mik] adj.动力的；动态的
dynamics [dai'n1miks] n.动力学
deformation [.di:f3:'mei54n] n.变形
defrost [di(:)'fr3st] vt.解冻，将…除霜
diffusion [di'fju:94n] n.扩散，传播
disgrace [dis'greis] vt.玷污
demobilize [di:'m4ubilaiz] vt.复员
disintegrate [dis'intigreit] v.（使）分解，（使）碎裂
deliberate [di'lib4reit] adj.深思熟虑的；故意的
demagnetize [di:'m1gnitaiz] vt.消磁，使退磁
dime [daim] n.一角硬币
deodorizer [di:'4ud4raiz4] n.除臭剂
denounce [di'nauns] vt.公然抨击，谴责
